date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
2022/7/16;Ntra. Sra. del Carmen  ;Karmengo Amaren Eguna;Amorebieta-Etxano  ;Amorebieta-Etxano  ;Bizkaia;3;43,226104;-2,712628
2022/7/5;San Martín  ;San Martin;Amoroto  ;Amoroto  ;Bizkaia;4;43,328500;-2,512500
2022/7/18;Santa Marina;Santa Marina;Arakaldo  ;Arakaldo  ;Bizkaia;5;43,149550;-2,925086
2022/6/29;San Pedro;San Pedro;Arantzazu  ;Arantzazu  ;Bizkaia;6;43,152904;-2,790430
2022/8/24;San Bartolomé;Bartolome Deuna;Areatza  ;Areatza  ;Bizkaia;93;43,121079;-2,767771
2022/6/29;San Pedro;San Pedro eguna;Arrankudiaga;Arrankudiaga;Bizkaia;9;43,173503;-2,917886
2022/12/21;Santo Tomas;Santo Tomas eguna;Arratzu;Arratzu;Bizkaia;914;43,311667;-2,638611
2022/11/11;San Martín;San Martín eguna;Arrieta  ;Arrieta  ;Bizkaia;10;43,340362;-2,769799
2022/7/22;Santa María Magdalena;Andra Maria Magdalena;Arrigorriaga;Arrigorriaga;Bizkaia;11;43,207520;-2,887839
2022/9/8;Fiesta local;Tokiko jai-eguna;Artea  ;Artea  ;Bizkaia;23;43,133718;-2,784141
2022/9/2;San Antolín;San Antolin;Artzentales  ;Artzentales  ;Bizkaia;8;43,240556;-3,241389
2022/6/29;San Pedro  ;San Pedro Eguna;Atxondo  ;Atxondo  ;Bizkaia;91;43,130342;-2,585079
2022/6/24;San Juan  ;San Juan eguna;Aulesti  ;Aulesti  ;Bizkaia;70;43,296084;-2,563355
2022/8/29;San Juan Degollado;Joan Doloz Eguna;Bakio  ;Bakio  ;Bizkaia;12;43,427778;-2,811389
2022/1/24;Fundación de la Villa;Fundación de la Villa;Balmaseda  ;Balmaseda  ;Bizkaia;90;43,192866;-3,196942
2022/7/16;Nuestra Señora del Carmen;Karmengo Andra Mari;Barakaldo  ;Barakaldo  ;Bizkaia;13;43,297222;-2,991667
2022/6/24;San Juan;San Juan;Barrika  ;Barrika  ;Bizkaia;14;43,406384;-2,962425
2022/10/13;San Fuasto;San Fausto;Basauri  ;Basauri  ;Bizkaia;15;43,233333;-2,883333
2022/6/24;San Juan Bautista;San Juan Bautista;Bedia  ;Bedia  ;Bizkaia;92;43,209374;-2,804965
2022/8/4;Santo Domingo de Guzmán;Santo Domingo de Guzman eguna;Berango;Berango;Bizkaia;16;43,365899;-2,996356
2022/9/8;Andra Mari;Andra Mari Eguna;Bermeo  ;Bermeo  ;Bizkaia;17;43,420422;-2,722158
2022/5/29;Fiesta local;Tokiko jai-eguna;Berriatua  ;Berriatua  ;Bizkaia;18;43,316667;-2,466667
