|Catastro|ReferenciaCP|IdCliente|Producto|Fecha|TipoProducto|AltaCliente
239327|018 4808400010UN02DR0UN|018 4808400010|6132312|N04|2020-06-03|Servicio principal|2020-05-28 00:00:00
17090|007 2000907012UNPBUN0UN|007 2000907012|6098339|N01|2020-06-03|Servicio principal|2020-01-05 00:00:00
274115|006 4802009565UN060D0UN|006 4802009565|6095609|N06|2020-04-03|Servicio sin cuota|2020-01-17 00:00:00
102056|004 0105902580UN010C0UN|004 0105902580|6108614|N01|2020-03-03|Servicio sin cuota|2020-02-07 00:00:00
40298|032 3108800011UN03DR0UN|032 3108800011|6101002|N04|2020-06-03|Servicio principal|2020-01-17 00:00:00
47388|004 4803400033UNPB0D0UN|004 4803400033|6101763|N06|2020-03-03|Servicio principal|2020-01-22 00:00:00
104412|017 4807800016UN01IZ0UN|017 4807800016|415641|N06|2020-06-03|Servicio principal|2020-02-06 00:00:00
277553|003 3112200023UN020B0UN|003 3112200023|6142104|N06|2020-06-03|Servicio sin cuota|2020-05-25 00:00:00
174282|005 4808200112UN040B0UN|005 4808200112|6115767|N01|2020-06-03|Servicio principal|2020-03-07 00:00:00
209315|025 0105904320UN04CN0UN|025 0105904320|4191373|N01|2020-05-03|Servicio principal|2020-03-28 00:00:00
45033|001 2007101420UN030B0UN|001 2007101420|646341|N04|2020-03-03|Servicio principal|2020-01-22 00:00:00
280379|060 2608900028E2040B0UN|060 2608900028|6099238|N01|2020-03-03|Servicio principal|2020-01-16 00:00:00
145528|009 3120101670UN02IZ0UN|009 3120101670|6114670|N06|2020-04-03|Servicio sin cuota|2020-02-26 00:00:00
256923|014 4807800178UN010D0UN|014 4807800178|6135998|N04|2020-06-03|Servicio principal|2020-04-26 00:00:00
211461|037 0105902192UN030C0UN|037 0105902192|1498956|N06|2020-05-03|Servicio principal|2020-03-22 00:00:00
126107|014 3101600172UN020B0UN|014 3101600172|6111860|N01|2020-06-03|Servicio principal|2020-02-16 00:00:00
